Time,normE,es.EX,es.EY,es.EZ,es.tEX,es.tEY,es.tEZ,es.Ex,es.Ey,es.Ez,es.tEx,es.tEy,es.tEz,V
0.0,2.1864364368574427,-1.411975196933171,0.31369310022648533,1.6102996883066805,-1.4119751969331662,0,1.610299688306668,-1.411975196933171,0.31369310022648533,1.6102996883066805,-1.4119751969331662,0,1.610299688306668,0.02116134459587474
0.02,2.049020883503319,-1.323231904872253,0.2939901794606745,1.509090864201081,-1.3232319048722552,0,1.509090864201097,-1.323231904872253,0.2939901794606745,1.509090864201081,-1.3232319048722552,0,1.509090864201097,0.01983051461206114
0.04,2.0788569090920364,-1.342499634315458,0.2982710057811544,1.5310649072011095,-1.3424996343154465,0,1.5310649072011255,-1.342499634315458,0.2982710057811544,1.5310649072011095,-1.3424996343154465,0,1.5310649072011255,0.020119268894606055
0.06,2.1091207376001364,-1.3620436283416075,0.3026132394270773,1.5533540188677222,-1.3620436283415955,0,1.5533540188677364,-1.3620436283416075,0.3026132394270773,1.5533540188677222,-1.3620436283415955,0,1.5533540188677364,0.02041216198683085
0.08,2.1400174332143163,-1.3819963061800875,0.30704634654568763,1.5761092189394308,-1.381996306180076,0,1.576109218939461,-1.3819963061800875,0.30704634654568763,1.5761092189394308,-1.381996306180076,0,1.576109218939461,0.020711176131858192
0.1,2.1709141288285374,-1.4019489840185764,0.31147945366430907,1.598864419011166,-1.4019489840185715,0,1.5988644190111962,-1.4019489840185764,0.31147945366430907,1.598864419011166,-1.4019489840185715,0,1.5988644190111962,0.02101019027688553
0.12,2.202931665765083,-1.422625383902231,0.31607389812905473,1.6224450084607334,-1.422625383902226,0,1.6224450084607351,-1.422625383902231,0.31607389812905473,1.6224450084607334,-1.422625383902226,0,1.6224450084607351,0.0213200237282664
0.14,2.2356851697776072,-1.4437769943142231,0.3207742799574129,1.646567565264954,-1.4437769943142182,0,1.6465675652649558,-1.4437769943142231,0.3207742799574129,1.646567565264954,-1.4437769943142182,0,1.6465675652649558,0.0216369613549627
0.16,2.268438673790854,-1.4649286047262153,0.32547466178580686,1.6706901220691606,-1.4649286047262176,0,1.6706901220691606,-1.4649286047262153,0.32547466178580686,1.6706901220691606,-1.4649286047262176,0,1.6706901220691606,0.021953898981658997
0.18,2.301192177804807,-1.4860802151381995,0.3301750436141684,1.6948126788733813,-1.4860802151381947,0,1.6948126788733973,-1.4860802151381995,0.3301750436141684,1.6948126788733813,-1.4860802151381947,0,1.6948126788733973,0.0222708366083553
0.2,2.33394568181943,-1.5072318255502068,0.3348754254425552,1.7189352356775807,-1.5072318255502015,0,1.7189352356776038,-1.5072318255502068,0.3348754254425552,1.7189352356775807,-1.5072318255502015,0,1.7189352356776038,0.022587774235051587
0.22,2.367095250898376,-1.5286393156105054,0.3396320623597937,1.7433496119236889,-1.5286393156105071,0,1.743349611923712,-1.5286393156105054,0.3396320623597937,1.7433496119236889,-1.5286393156105071,0,1.743349611923712,0.022908577655566743
0.24,2.4017274363684744,-1.5510046567793587,0.3445992826493409,1.768856375070147,-1.5510046567793605,0,1.768856375070163,-1.5510046567793587,0.3445992826493409,1.768856375070147,-1.5510046567793605,0,1.768856375070163,0.02324385215621262
0.26,2.4363596218410875,-1.5733699979482036,0.3495665029389057,1.7943631382165854,-1.5733699979481983,0,1.7943631382166156,-1.5733699979482036,0.3495665029389057,1.7943631382165854,-1.5733699979481983,0,1.7943631382166156,0.023579126656858514
0.28,2.470991807316114,-1.5957353391170424,0.3545337232284387,1.8198699013630364,-1.595735339117037,0,1.8198699013630666,-1.5957353391170424,0.3545337232284387,1.8198699013630364,-1.595735339117037,0,1.8198699013630666,0.023914401157504397
0.3,2.505623992793474,-1.618100680285881,0.3595009435179788,1.8453766645095016,-1.6181006802858828,0,1.8453766645095175,-1.618100680285881,0.3595009435179788,1.8453766645095016,-1.6181006802858828,0,1.8453766645095175,0.024249675658150283
0.32,2.5402561782730517,-1.640466021454726,0.3644681638075222,1.8708834276559472,-1.6404660214547198,0,1.8708834276559703,-1.640466021454726,0.3644681638075222,1.8708834276559472,-1.6404660214547198,0,1.8708834276559703,0.02458495015879617
0.34,2.5779295121024006,-1.6647939120060142,0.3698792924432457,1.8986283740112562,-1.6647939120060151,0,1.8986283740112722,-1.6647939120060142,0.3698792924432457,1.8986283740112562,-1.6647939120060151,0,1.8986283740112722,0.024949224677649314
0.36,2.6162794698044305,-1.6895584493561682,0.37538918606295124,1.9268712928212306,-1.689558449356169,0,1.9268712928212466,-1.6895584493561682,0.37538918606295124,1.9268712928212306,-1.689558449356169,0,1.9268712928212466,0.02531995139853646
0.38,2.654629427545352,-1.7143229867063212,0.380899079682685,1.955114211631221,-1.714322986706323,0,1.9551142116312228,-1.7143229867063212,0.380899079682685,1.955114211631221,-1.714322986706323,0,1.9551142116312228,0.0256906781194236
0.4,2.692979385323489,-1.7390875240564894,0.3864089733023903,1.9833571304411972,-1.7390875240564831,0,1.9833571304412132,-1.7390875240564894,0.3864089733023903,1.9833571304411972,-1.7390875240564831,0,1.9833571304412132,0.026061404840310748
0.42,2.731329343137257,-1.7638520614066415,0.3919188669220992,2.011600049251175,-1.7638520614066362,0,2.011600049251177,-1.7638520614066415,0.3919188669220992,2.011600049251175,-1.7638520614066362,0,2.011600049251177,0.026432131561197888
0.44,2.7696793009851963,-1.7886165987568035,0.3974287605418332,2.0398429680611425,-1.7886165987567963,0,2.039842968061194,-1.7886165987568035,0.3974287605418332,2.0398429680611425,-1.7886165987567963,0,2.039842968061194,0.026802858282085035
0.46,2.808029258865882,-1.8133811361069485,0.4029386541615385,2.0680858868711045,-1.8133811361069503,0,2.068085886871126,-1.8133811361069485,0.4029386541615385,2.0680858868711045,-1.8133811361069503,0,2.068085886871126,0.02717358500297218
0.48,2.8463792167780335,-1.8381456734571096,0.4084485477812403,2.096328805681088,-1.8381456734571096,0,2.096328805681104,-1.8381456734571096,0.4084485477812403,2.096328805681088,-1.8381456734571096,0,2.096328805681104,0.027544311723859325
0.5,2.8847291747203765,-1.8629102108072626,0.41395844140098137,2.1245717244910765,-1.8629102108072635,0,2.1245717244910924,-1.8629102108072626,0.41395844140098137,2.1245717244910765,-1.8629102108072635,0,2.1245717244910924,0.02791503844474647
0.52,2.923079132691705,-1.8876747481574307,0.41946833502068315,2.1528146433010455,-1.8876747481574316,0,2.1528146433010686,-1.8876747481574307,0.41946833502068315,2.1528146433010455,-1.8876747481574316,0,2.1528146433010686,0.028285765165633615
0.54,2.961528210854677,-1.912503411594181,0.4249918247029856,2.181130695102448,-1.9125034115941748,0,2.181130695102471,-1.912503411594181,0.4249918247029856,2.181130695102448,-1.9125034115941748,0,2.181130695102471,0.028657486661813475
0.56,3.0029405426003155,-1.9392491607612508,0.4309217763878772,2.2116330991628335,-1.9392491607612437,0,2.211633099162821,-1.9392491607612508,0.4309217763878772,2.2116330991628335,-1.9392491607612437,0,2.211633099162821,0.029058947529596205
0.58,3.0443528744469255,-1.965994909928316,0.4368517280727442,2.242135503223203,-1.965994909928316,0,2.2421355032232118,-1.965994909928316,0.4368517280727442,2.242135503223203,-1.965994909928316,0,2.2421355032232118,0.02946040839737894
0.6,3.0857652063904784,-1.9927406590953947,0.4427816797576325,2.272637907283574,-1.9927406590953947,0,2.2726379072836327,-1.9927406590953947,0.4427816797576325,2.272637907283574,-1.9927406590953947,0,2.2726379072836327,0.029861869265161673
0.62,3.1271775384271185,-2.0194864082624644,0.4487116314425561,2.3031403113439524,-2.019486408262458,0,2.3031403113439826,-2.0194864082624644,0.4487116314425561,2.3031403113439524,-2.019486408262458,0,2.3031403113439826,0.0302633301329444
0.64,3.1685898705531574,-2.0462321574295164,0.4546415831274091,2.333642715404327,-2.0462321574295164,0,2.333642715404343,-2.0462321574295164,0.4546415831274091,2.333642715404327,-2.0462321574295164,0,2.333642715404343,0.03066479100072714
0.66,3.210002202765202,-2.072977906596594,0.4605715348123327,2.3641451194647125,-2.072977906596587,0,2.3641451194647356,-2.072977906596594,0.4605715348123327,2.3641451194647125,-2.072977906596587,0,2.3641451194647356,0.031066251868509868
0.68,3.2514145350599186,-2.0997236557636656,0.4665014864971644,2.3946475235251103,-2.0997236557636585,0,2.3946475235251405,-2.0997236557636656,0.4665014864971644,2.3946475235251103,-2.0997236557636585,0,2.3946475235251405,0.0314677127362926
0.7,3.2928268674341936,-2.126469404930744,0.4724314381820669,2.4251499275854727,-2.126469404930737,0,2.4251499275854886,-2.126469404930744,0.4724314381820669,2.4251499275854727,-2.126469404930737,0,2.4251499275854886,0.03186917360407533
0.72,3.3342391998850225,-2.153215154097782,0.4783613898669872,2.4556523316458083,-2.153215154097782,0,2.455652331645851,-2.153215154097782,0.4783613898669872,2.4556523316458083,-2.153215154097782,0,2.455652331645851,0.03227063447185806
0.74,3.376414963981662,-2.1804527298233936,0.48440732880198056,2.486715638141696,-2.1804527298233856,0,2.486715638141753,-2.1804527298233936,0.48440732880198056,2.486715638141696,-2.1804527298233856,0,2.486715638141753,0.0326791163126762
0.76,3.4201741872117966,-2.2087104195447687,0.49069384079094713,2.5189423312313757,-2.2087104195447678,0,2.5189423312314183,-2.2087104195447687,0.49069384079094713,2.5189423312313757,-2.2087104195447678,0,2.5189423312314183,0.0331021605896488
