,Names,RMS,KURT,SKW,STD,POW,POW_Max,FFT,Sources
43,probe6-7.1_p_0.00135 1 neur,1.7049453711160771,-0.7693442323310014,-0.16773765093620174,0.7312918515620032,2428.1091875715983,466.9017656300698,123.25928254549663,1
44,probe6-7.1_p_0.0014 1 neur,1.7189666879294287,-0.7728051049750442,-0.16381109152181536,0.7382515568667983,2466.226283556723,470.75688359423253,124.58598077515344,1
45,probe6_p_0.0013 1 neur,2.067733397804194,-0.7712524306578108,-0.16573190847357888,0.8875520835497704,2402.936865370554,467.8127210874584,122.69632750498018,1
46,probe6_p_0.00135 1 neur,2.0650258541444035,-0.7693442834517437,-0.16773854708395947,0.8857390711582164,2397.6812500091046,461.0507396587346,122.48452798379944,1
47,probe6_p_0.0014 1 neur,2.082009964025038,-0.772799432707568,-0.1638015737932695,0.8941702351810973,2435.320966230046,464.85765489617427,123.80290767940143,1
48,probe2_p_0.0013 1 neur,5.285158518779076,-0.7634435539998594,-0.15902897176243994,2.268936966201017,2442.737164737109,471.0423911855834,123.62901782061749,1
49,probe2_p_0.00135 1 neur,5.2773149606905445,-0.7668842799668276,-0.15955308564911183,2.264854357517581,2435.5263886680723,463.59394452809823,123.63135751490366,1
50,probe2_p_0.0014 1 neur,5.312277677728441,-0.7619773105409458,-0.16070566969665914,2.278100601696977,2467.631461635725,475.4051956632182,124.24355463481157,1
51,probe2-5_p_0.0013 1 neur,10.338495805273078,-0.7634430748477863,-0.1590250236624552,4.4383560773881285,2325.2027484308455,448.37781792869185,120.6180927139538,1
52,probe2-5_p_0.00135 1 neur,10.323155275557742,-0.766884033184823,-0.15955532082932464,4.430366931303323,2318.338836962427,441.2877148925851,120.62037589705942,1
53,probe2-5_p_0.0014 1 neur,10.391542457311328,-0.7619826589321907,-0.16071345270390874,4.456271870298067,2348.899382444396,452.5306663252249,121.21767381822315,1
54,probe2-5.1_p_0.0013 1 neur,9.899174501531952,-0.7634428550006378,-0.15902319409112045,4.249755443565858,2310.185122672884,445.4819212985832,120.22794746815804,1
55,probe2-5.1_p_0.00135 1 neur,9.88448439984745,-0.766884069032518,-0.15955498386765754,4.242103514375659,2303.365569253151,438.4376071138208,120.23022453248666,1
56,probe2-5.1_p_0.0014 1 neur,9.949966535570525,-0.7619852209544509,-0.16071717665500948,4.266905827532698,2333.7287996637483,449.60794629391285,120.82559402166383,1
57,probe5_p_0.0013 1 neur,5.122790932704874,-0.7634427894555151,-0.1590226472900146,2.1992350207312605,2444.5273151299843,471.38755840769505,123.6743113673435,1
58,probe5_p_0.00135 1 neur,5.115187790777604,-0.766884200512723,-0.15955379656374896,2.1952745324800538,2437.3112928210066,463.93369444653547,123.67665153943027,1
59,probe5_p_0.0014 1 neur,5.149076439020371,-0.7619836821571049,-0.16071493343592275,2.2081110523095187,2469.4399893238005,475.7536204488883,124.28907530865219,1
60,probe7-2_p_0.0013 1 neur,9.691453619577535,-0.7634427671082862,-0.1590224778026637,4.16058067855858,2324.1557971830634,448.17596633229965,120.590933332292,1
61,probe7-2_p_0.00135 1 neur,9.677067552138498,-0.766884191811593,-0.15955380766918179,4.15308699731612,2317.295039641714,441.089030262849,120.59321894957347,1
62,probe7-2_p_0.0014 1 neur,9.74117752031455,-0.761980567330121,-0.16071041700166852,4.17737345334402,2347.841769742635,452.3269113158353,121.1903808771251,1
63,probe1_p_0.0013 1 neur,51.18676501277554,-0.7634425094458077,-0.1590202738549824,21.97469815836292,1777.073896375095,342.68037604434204,105.44711890658246,1
64,probe1_p_0.00135 1 neur,51.110747212587476,-0.7668845007995686,-0.15955091817139616,21.93509525719343,1771.8276777135077,337.2612845234718,105.449127674317,1
65,probe1_p_0.0014 1 neur,51.44938361727425,-0.7619845428609953,-0.16071616262750446,22.063361038154238,1795.1851904158937,345.8539101808654,105.97136021538778,1
66,probe1.1_p_0.0013 1 neur,50.49170159270914,-0.7634427462865783,-0.15902223182068256,21.676295193661563,1710.0653325484432,329.75893532046734,103.43995130072757,1
67,probe1.1_p_0.00135 1 neur,50.41671269305584,-0.766884626889571,-0.15954972597734993,21.637238622646052,1705.0173823482046,324.5441607429493,103.44193821976151,1
68,probe1.1_p_0.0014 1 neur,50.750767676245594,-0.7619812380828876,-0.16071126213242898,21.76378381329076,1727.4939555811575,332.81272017466637,103.9542365804674,1
69,probe5-6_p_0.0013 1 neur,8.651937170904004,-0.7634425697277827,-0.15902081956527983,3.7143133584632935,2320.5973646726316,447.4897501884752,120.49858288380683,1
70,probe5-6_p_0.00135 1 neur,8.639096565456265,-0.7668840631869056,-0.15955489109603094,3.707623023998572,2313.7471017185053,440.4136955690704,120.50086560391684,1
71,probe5-6_p_0.0014 1 neur,8.696328888141052,-0.7619867659978206,-0.1607194274654258,3.7292994550280314,2344.2472147915464,451.63438683156386,121.09757616658982,1
72,probe7-2.1_p_0.0013 1 neur,10.642349395752161,-0.7634424498855865,-0.15901985931100224,4.56880673065873,2318.5488050913355,447.09478283561236,120.44538219008135,1
